feature,coefficient,importance
texture_worst,1.4304877871914554,1.4304877871914554
area_se,1.1592561167203037,1.1592561167203037
compactness_se,-1.0453997101654928,1.0453997101654928
concave points_mean,0.8695242625026094,0.8695242625026094
symmetry_worst,0.7122839615665792,0.7122839615665792
area_worst,0.6754294211585202,0.6754294211585202
concavity_worst,0.628928894498516,0.628928894498516
texture_se,-0.5224609122499025,0.5224609122499025
compactness_mean,-0.5095571259006126,0.5095571259006126
radius_worst,0.488313415970563,0.488313415970563
radius_se,0.4696748834725163,0.4696748834725163
concavity_se,0.4629862939085813,0.4629862939085813
fractal_dimension_se,-0.451361679877444,0.451361679877444
concavity_mean,0.4424322944997896,0.4424322944997896
concave points_se,0.40555124415216204,0.40555124415216204
smoothness_mean,0.39041247410440716,0.39041247410440716
area_mean,0.31756553814300614,0.31756553814300614
perimeter_worst,0.31707290734095234,0.31707290734095234
smoothness_worst,0.30221192092352894,0.30221192092352894
fractal_dimension_mean,0.30117596803497404,0.30117596803497404
perimeter_se,0.21894152162056113,0.21894152162056113
symmetry_mean,-0.20541887448192755,0.20541887448192755
perimeter_mean,0.19719944142464155,0.19719944142464155
texture_mean,0.1804424286139945,0.1804424286139945
radius_mean,0.1679238604992792,0.1679238604992792
fractal_dimension_worst,0.12800310540460397,0.12800310540460397
compactness_worst,-0.1195530000391517,0.1195530000391517
smoothness_se,0.06149358174570467,0.06149358174570467
symmetry_se,-0.05146789175748678,0.05146789175748678
concave points_worst,-0.035541597721968465,0.035541597721968465
