feature,importance,importance_std
perimeter_worst,0.0035714285714284976,0.0023373805617820527
compactness_worst,0.00342261904761898,0.0020605726320856547
concavity_worst,0.0023809523809523005,0.0017641506175064931
symmetry_se,0.001851851851851777,0.0007712899331805967
radius_worst,0.0013392857142856484,0.001113956697268631
area_worst,0.001173941798941741,0.0010429780944385164
fractal_dimension_se,0.0011739417989417133,0.00110903745619934
concave points_worst,0.0009424603174602753,0.0009072847168200768
area_mean,0.0009424603174602308,0.0009369326432875113
smoothness_worst,0.000876322751322689,0.0008703751447256557
perimeter_se,0.0008432539682538875,0.0009439095883724988
concavity_mean,0.0007605820105819283,0.0008372347156859974
radius_se,0.0007440476190475498,0.0009968743581338106
concave points_mean,0.0007275132275131491,0.0009092412093166525
area_se,0.0006448412698411788,0.0006570210478275767
radius_mean,0.0005291005291004514,0.0008585155413853957
perimeter_mean,0.0005291005291004402,0.0005670115145331229
smoothness_se,0.0003968253968253066,0.0006496985021292749
compactness_se,0.00036375661375654956,0.0003290302371384247
fractal_dimension_worst,0.0003637566137565329,0.00025400614245597717
concavity_se,0.00033068783068775364,0.0005631410835292766
texture_mean,0.0002976190476189688,0.0014334468784188664
concave points_se,0.0002645502645501785,0.000426061465830834
fractal_dimension_mean,0.00023148148148143254,0.00039267004256077816
smoothness_mean,0.00019841269841265884,0.000423487052740257
compactness_mean,0.00016534391534383519,0.0003842245383142193
symmetry_mean,9.920634920626559e-05,0.0007475300631916257
texture_worst,4.960317460308561e-05,0.0010575549863060662
symmetry_worst,-3.306878306884587e-05,0.0012500699848833384
texture_se,-4.9603174603257694e-05,0.000931078586329447
